date,company,price
2019-09-05,TWTR,45.29999923706055
2019-09-05,PINS,31.26000022888184
2019-09-05,SNAP,15.869999885559082
2019-09-05,ETSY,50.09999847412109
2019-09-06,FB,187.4900054931641
2019-09-06,TWTR,45.41999816894531
2019-09-06,PINS,30.36000061035156
2019-09-06,SNAP,16.6200008392334
2019-09-06,ETSY,47.97999954223633
2019-09-09,FB,188.75999450683597
2019-09-09,TWTR,44.2599983215332
2019-09-09,PINS,28.200000762939453
2019-09-09,SNAP,15.3100004196167
2019-09-09,ETSY,50.5
2019-09-10,FB,186.1699981689453
2019-09-10,TWTR,43.25
2019-09-10,PINS,28.799999237060547
2019-09-10,SNAP,15.020000457763672
2019-09-10,ETSY,50.52999877929688
2019-09-11,FB,188.4900054931641
2019-09-11,TWTR,43.25
2019-09-11,PINS,29.600000381469727
2019-09-11,SNAP,15.3100004196167
2019-09-11,ETSY,52.66999816894531
2019-09-12,FB,187.47000122070312
2019-09-12,TWTR,43.20000076293945
2019-09-12,PINS,29.770000457763672
2019-09-12,SNAP,15.770000457763672
2019-09-12,ETSY,54.880001068115234
2019-09-13,FB,187.19000244140625
2019-09-13,TWTR,42.630001068115234
2019-09-13,PINS,29.040000915527344
2019-09-13,SNAP,16.0
2019-09-13,ETSY,56.86000061035156
2019-09-16,FB,186.22000122070312
2019-09-16,TWTR,42.7599983215332
2019-09-16,PINS,29.26000022888184
2019-09-16,SNAP,15.760000228881836
2019-09-16,ETSY,57.84000015258789
2019-09-17,FB,188.0800018310547
2019-09-17,TWTR,43.2400016784668
2019-09-17,PINS,30.11000061035156
2019-09-17,SNAP,16.829999923706055
2019-09-17,ETSY,59.84999847412109
2019-09-18,FB,188.13999938964844
2019-09-18,TWTR,43.2400016784668
2019-09-18,PINS,29.5
2019-09-18,SNAP,16.899999618530273
2019-09-18,ETSY,59.45000076293945
2019-09-19,FB,190.13999938964844
2019-09-19,TWTR,42.93000030517578
2019-09-19,PINS,30.13999938964844
2019-09-19,SNAP,16.8799991607666
2019-09-19,ETSY,59.06999969482422
2019-09-20,FB,189.92999267578125
2019-09-20,TWTR,43.22999954223633
2019-09-20,PINS,30.21999931335449
2019-09-20,SNAP,17.040000915527344
2019-09-20,ETSY,60.40999984741211
2019-09-23,FB,186.82000732421875
2019-09-23,TWTR,43.380001068115234
2019-09-23,PINS,28.549999237060547
2019-09-23,SNAP,17.1200008392334
2019-09-23,ETSY,60.540000915527344
2019-09-24,FB,181.27999877929688
2019-09-24,TWTR,41.41999816894531
2019-09-24,PINS,27.11000061035156
2019-09-24,SNAP,17.040000915527344
2019-09-24,ETSY,56.900001525878906
2019-09-25,FB,182.8000030517578
2019-09-25,TWTR,42.5
2019-09-25,PINS,27.11000061035156
2019-09-25,SNAP,17.110000610351562
2019-09-25,ETSY,55.0
2019-09-26,FB,180.11000061035156
2019-09-26,TWTR,42.43999862670898
2019-09-26,PINS,27.3799991607666
2019-09-26,SNAP,17.0
2019-09-26,ETSY,54.400001525878906
2019-09-27,FB,177.10000610351562
2019-09-27,TWTR,41.34999847412109
2019-09-27,PINS,26.5
2019-09-27,SNAP,16.020000457763672
2019-09-27,ETSY,54.810001373291016
